iter	Passed	Remaining
0	9	988
1	18	919
2	31	1015
3	48	1159
4	71	1353
5	97	1528
6	116	1543
7	124	1428
8	132	1344
9	142	1280
10	149	1207
11	156	1148
12	163	1094
13	174	1070
14	190	1080
15	207	1089
16	224	1096
17	243	1110
18	264	1127
19	276	1106
20	288	1083
21	297	1054
22	306	1024
23	313	993
24	320	962
25	327	931
26	335	907
27	346	890
28	416	1018
29	460	1075
30	482	1073
31	498	1059
32	572	1163
33	608	1180
34	628	1167
35	646	1148
36	741	1262
37	770	1257
38	791	1238
39	847	1271
40	895	1288
41	918	1268
42	934	1238
43	971	1236
44	1044	1276
45	1061	1245
46	1144	1291
47	1194	1293
48	1222	1272
49	1241	1241
50	1270	1220
51	1339	1236
52	1376	1220
53	1413	1203
54	1522	1245
55	1610	1265
56	1656	1249
57	1686	1221
58	1782	1238
59	1804	1202
60	1816	1161
61	1824	1118
62	1833	1076
63	1842	1036
64	1850	996
65	1857	956
66	1864	918
67	1871	880
68	1889	848
69	1923	824
70	1945	794
71	1972	767
72	1997	738
73	2020	709
74	2036	678
75	2138	675
76	2152	642
77	2164	610
78	2172	577
79	2192	548
80	2209	518
81	2228	489
82	2245	459
83	2260	430
84	2267	400
85	2275	370
86	2282	341
87	2296	313
88	2313	285
89	2332	259
90	2350	232
91	2369	206
92	2377	178
93	2386	152
94	2393	125
95	2404	100
96	2429	75
97	2446	49
98	2464	24
99	2491	0
